Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
diethylamine,butanol,CCNCC,CCCCO,-5.15
ethyloctadecanoate,hexadecane,CCCCCCCCCCCCCCCCCC(=O)OCC,CCCCCCCCCCCCCCCC,-13.69
phenol,ethylacetate,C1=CC=C(C=C1)O,CCOC(=O)C,-8.7
dibromomethane,water,C(Br)Br,O,-2.11
2-butanone,aceticacid,CCC(=O)C,CC(O)=O,-4.8
n-pentadecane,pentadecane,CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCC,-9.91
N-ethylaniline,water,CCNC1=CC=CC=C1,O,-4.62
propylamine,octane,CCCN,CCCCCCCC,-3.0
aceticacid,butanol,CC(O)=O,CCCCO,-6.81
toluene,pentanol,CC1=CC=CC=C1,CCCCCO,-4.25
propylamine,diethylether,CCCN,CCOCC,-3.65
1;2-dichlorobenzene,hexadecane,C1=CC=C(C(=C1)Cl)Cl,CCCCCCCCCCCCCCCC,-6.16
o-cresol,hexane,CC1=CC=CC=C1O,CCCCCC,-6.25
acetophenone,heptane,CC(=O)C1=CC=CC=C1,CCCCCCC,-6.14
N;N-dimethyl-p-methoxybenzamide,water,CN(C)C(=O)C1=CC=C(C=C1)OC,O,-11.01
aceticacid,pentanol,CC(O)=O,CCCCCO,-6.65
butanal,octanol,CCCC=O,CCCCCCCCO,-4.62
methylpentanoate,octane,CCCCC(=O)OC,CCCCCCCC,-4.86
pentanoicacid,water,CCCCC(O)=O,O,-6.16
toluene,tetrahydrothiophenedioxide,CC1=CC=CC=C1,O=[S]1(=O)CCCC1,-4.23
2-hexanone,isooctane,CCCCC(=O)C,CC(C)CC(C)(C)C,-4.72
1-butanol,hexane,CCCCO,CCCCCC,-3.77
pentylacetate,dichloroethane,CCCCCOC(C)=O,CC(Cl)Cl,-6.64
p-xylene,heptane,CC1=CC=C(C=C1)C,CCCCCCC,-5.52
1-pentanol,tributylphosphate,CCCCCO,CCCCOP(=O)(OCCCC)OCCCC,-6.69
propylacetate,chloroform,CCCOC(C)=O,C(Cl)(Cl)Cl,-6.35
butylamine,iodobenzene,CCCCN,C1=CC=C(C=C1)I,-4.19
acetophenone,chloroform,CC(=O)C1=CC=CC=C1,C(Cl)(Cl)Cl,-7.81
toluene,diethylether,CC1=CC=CC=C1,CCOCC,-5.23
t-butanol,water,CC(C)(C)O,O,-4.51
formaldehyde,butanol,C=O,CCCCO,-3.49
cyclopentanone,hexadecane,C1CCC(=O)C1,CCCCCCCCCCCCCCCC,-4.39
1-nitrobutane,hexadecane,CCCC[N+](=O)[O-],CCCCCCCCCCCCCCCC,-4.66
isopropanol,diethylether,CC(C)O,CCOCC,-4.44
2-hexanone,chlorobenzene,CCCCC(=O)C,C1=CC=C(C=C1)Cl,-5.84
propylacetate,chlorobenzene,CCCOC(C)=O,C1=CC=C(C=C1)Cl,-5.15
butylamine,heptane,CCCCN,CCCCCCC,-3.55
butanoicacid,pentanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCO,-7.74
N;N-dimethylformamide,diethylether,CN(C)C=O,CCOCC,-5.31
tripropylphosphate,benzene,CCCO[P](=O)(OCCC)OCCC,C1=CC=CC=C1,-9.34
nitromethane,butanol,C[N+](=O)[O-],CCCCO,-3.93
fluorobenzene,decalin,C1=CC=C(C=C1)F,C1CCC2CCCCC2C1,-3.44
pentylacetate,isopropylbenzene,CCCCCOC(C)=O,CC(C)C1=CC=CC=C1,-6.13
1-propanol,diethylether,CCCO,CCOCC,-4.9
methanol,butylacetate,CO,CCCCOC(C)=O,-3.04
1-pentanol,hexadecane,CCCCCO,CCCCCCCCCCCCCCCC,-4.24
2;2';3'-trichlorobiphenyl,octanol,Clc1cccc(c1Cl)c2ccccc2Cl,CCCCCCCCO,-9.12
chrysene,hexadecane,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,CCCCCCCCCCCCCCCC,-14.1
butylamine,hexanol,CCCCN,CCCCCCO,-5.5
bromoform,octanol,C(Br)(Br)Br,CCCCCCCCO,-5.62
bromobenzene,hexadecane,C1=CC=C(C=C1)Br,CCCCCCCCCCCCCCCC,-5.51
1-heptanol,heptanol,CCCCCCCO,CCCCCCCO,-7.84
diethylamine,4methyl2pentanone,CCNCC,CC(C)CC(C)=O,-3.63
ethylacetate,hexane,CCOC(=O)C,CCCCCC,-3.62
water,cyclohexane,O,C1CCCCC1,-0.39
ethylphenylether,chloroform,CCOc1ccccc1,C(Cl)(Cl)Cl,-7.16
benzamide,hexane,C1=CC=C(C=C1)C(=O)N,CCCCCC,-7.77
1-butanol,water,CCCCO,O,-4.72
1;1-difluoroethane,water,CC(F)F,O,-0.11
2-methylpyrazine,water,CC1=NC=CN=C1,O,-5.57
ethylamine,tributylphosphate,CCN,CCCCOP(=O)(OCCCC)OCCCC,-3.29
ethylamine,water,CCN,O,-4.5
2-butanone,xylene,CCC(=O)C,CC1=CC=CC=C1C,-4.23
diethylsulfide,chloroform,CCSCC,C(Cl)(Cl)Cl,-6.4
benzamide,diethylether,C1=CC=C(C=C1)C(=O)N,CCOCC,-10.6
p-cresol,nitrobenzene,CC1=CC=C(C=C1)O,C1=CC=C(C=C1)[N+](=O)[O-],-8.13
N-methylmorpholine,water,CN1CCOCC1,O,-6.34
chlorobenzene,decanol,C1=CC=C(C=C1)Cl,CCCCCCCCCCO,-4.83
bromobenzene,diethylether,C1=CC=C(C=C1)Br,CCOCC,-5.99
benzene,water,C1=CC=CC=C1,O,-0.87
2;4-dimethylpentane,water,CC(C)CC(C)C,O,2.88
phenol,hexane,C1=CC=C(C=C1)O,CCCCCC,-5.49
2-pentanone,octane,CCCC(=O)C,CCCCCCCC,-3.97
toluene,hexadecane,CC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-4.54
diethyldisulfide,water,CCSSCC,O,-1.63
m-cresol,4methyl2pentanone,CC1=CC(=CC=C1)O,CC(C)CC(C)=O,-8.79
p-bromophenol,chlorobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Cl,-8.54
3-bromopropene,water,C=CCBr,O,-0.86
5-fluorouracil,chloroform,C1=C(C(=O)NC(=O)N1)F,C(Cl)(Cl)Cl,-14.31
aniline,benzene,C1=CC=C(C=C1)N,C1=CC=CC=C1,-6.88
pyridine,toluene,C1=CC=NC=C1,CC1=CC=CC=C1,-5.13
hydrazine,benzene,NN,C1=CC=CC=C1,-4.02
1-heptanol,octanol,CCCCCCCO,CCCCCCCCO,-7.75
p-hydroxybenzaldehyde,diethylether,C1=CC(=CC=C1C=O)O,CCOCC,-12.07
acetamide,hexadecane,CC(=O)N,CCCCCCCCCCCCCCCC,-3.33
1-butanol,octanol,CCCCO,CCCCCCCCO,-5.71
water,benzene,O,C1=CC=CC=C1,-1.71
methylpropanoate,isopropylbenzene,CCC(=O)OC,CC(C)C1=CC=CC=C1,-4.19
octafluoropropane,water,C(C(F)(F)F)(C(F)(F)F)(F)F,O,4.28
naphthalene,water,C1=CC=C2C=CC=CC2=C1,O,-2.39
1-bromo-isobutane,hexadecane,CC(C)CBr,CCCCCCCCCCCCCCCC,-4.04
propylacetate,heptane,CCCOC(C)=O,CCCCCCC,-4.09
butanoicacid,hexadecane,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCCCCCCCCCCC,-3.86
hydrogenperoxide,toluene,OO,CC1=CC=CC=C1,-3.14
hydrazine,diethylether,NN,CCOCC,-3.08
ethylacetate,pentane,CCOC(=O)C,CCCCC,-3.69
methylpropanoate,decalin,CCC(=O)OC,C1CCC2CCCCC2C1,-3.5
butanoicacid,benzene,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,C1=CC=CC=C1,-5.3
butylacetate,secbutylbenzene,CCCCOC(C)=O,CCC(C)C1=CC=CC=C1,-5.22
caffeine,water,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,O,-12.64
N-methylformamide,methylformamide,CNC=O,CNC=O,-8.27
ethanol,tetrahydrofuran,CCO,C1CCOC1,-4.56
benzamide,heptane,C1=CC=C(C=C1)C(=O)N,CCCCCCC,-7.26
2-butanone,ethanol,CCC(=O)C,CCO,-4.32
toluene,decalin,CC1=CC=CC=C1,C1CCC2CCCCC2C1,-4.37
nitroethane,water,CC[N+](=O)[O-],O,-3.71
4-methylpyridine,cyclohexane,CC1=CC=NC=C1,C1CCCCC1,-5.23
bromotrichloromethane,water,C(Cl)(Cl)(Cl)Br,O,-0.93
chloroform,water,C(Cl)(Cl)Cl,O,-1.07
2-methoxybenzoicacid,octanol,COC1=CC=CC=C1C(=O)O,CCCCCCCCO,-12.49
nitromethane,phenylether,C[N+](=O)[O-],O(c1ccccc1)c2ccccc2,-4.19
t-butanol,benzene,CC(C)(C)O,C1=CC=CC=C1,-3.7
cyclohexane,benzene,C1CCCCC1,C1=CC=CC=C1,-4.05
2-methylpropane,water,CC(C)C,O,2.32
acetaldehyde,hexadecane,CC=O,CCCCCCCCCCCCCCCC,-1.68
toluene,hexane,CC1=CC=CC=C1,CCCCCC,-4.84
2-bromopropane,water,CC(C)Br,O,-0.48
1-pentene,hexadecane,CCCC=C,CCCCCCCCCCCCCCCC,-2.79
methylpropanoate,ethylbenzene,CCC(=O)OC,CCC1=CC=CC=C1,-4.29
1;4-dioxane,methylformamide,C1COCCO1,CNC=O,-4.86
1;4-dioxane,isopropanol,C1COCCO1,CC(C)O,-4.49
p-hydroxybenzaldehyde,dichloroethane,C1=CC(=CC=C1C=O)O,CC(Cl)Cl,-10.7
ethylbenzene,butanol,CCC1=CC=CC=C1,CCCCO,-4.46
methylhexanoate,xylene,CCCCCC(=O)OC,CC1=CC=CC=C1C,-6.26
ethylamine,heptanol,CCN,CCCCCCCO,-4.15
methylhexanoate,decalin,CCCCCC(=O)OC,C1CCC2CCCCC2C1,-5.51
acetonitrile,chloroform,CC#N,C(Cl)(Cl)Cl,-4.44
ethanol,cyclohexanone,CCO,C1CCC(=O)CC1,-4.41
dipropylamine,hexadecane,CCCNCCC,CCCCCCCCCCCCCCCC,-4.57
pentanoicacid,diisopropylether,CCCCC(O)=O,CC(C)OC(C)C,-7.59
ethylacetate,bromooctane,CCOC(=O)C,CCCCCCCCBr,-3.97
N-methylaniline,decalin,CNC1=CC=CC=C1,C1CCC2CCCCC2C1,-6.41
5-nonanone,hexadecane,CCCCC(=O)CCCC,CCCCCCCCCCCCCCCC,-6.46
methylacetate,decane,COC(C)=O,CCCCCCCCCC,-2.98
tetrahydropyran,cyclohexane,C1CCOCC1,C1CCCCC1,-4.41
butylacetate,chlorobenzene,CCCCOC(C)=O,C1=CC=C(C=C1)Cl,-5.74
butylacetate,nonane,CCCCOC(C)=O,CCCCCCCCC,-4.69
nitromethane,anisole,C[N+](=O)[O-],COC1=CC=CC=C1,-4.69
1-hexanol,dodecane,CCCCCCO,CCCCCCCCCCCC,-4.28
1;1;1;3;3;3-hexafluoropropan-2-ol,octanol,C(C(F)(F)F)(C(F)(F)F)O,CCCCCCCCO,-5.76
ethanol,butanol,CCO,CCCCO,-5.02
2-pentanone,pentane,CCCC(=O)C,CCCCC,-4.16
2-methylpyridine,hexadecane,CC1=CC=CC=N1,CCCCCCCCCCCCCCCC,-4.68
propionitrile,water,CCC#N,O,-3.85
1-heptanol,bromobenzene,CCCCCCCO,C1=CC=C(C=C1)Br,-6.68
3-methylpyridine,octanol,CC1=CN=CC=C1,CCCCCCCCO,-6.4
propylparaben,octanol,CCCOC(=O)C1=CC=C(C=C1)O,CCCCCCCCO,-13.52
hexafluoroethane,water,C(C(F)(F)F)(F)(F)F,O,3.94
4-methylaniline,butylacetate,CC1=CC=C(C=C1)N,CCCCOC(C)=O,-7.81
phenol,pentane,C1=CC=C(C=C1)O,CCCCC,-5.67
ethylacetate,toluene,CCOC(=O)C,CC1=CC=CC=C1,-4.41
2-pentanone,trimethylbenzene,CCCC(=O)C,CC1=C(C(=CC=C1)C)C,-4.83
1;2-dichlorobenzene,water,C1=CC=C(C(=C1)Cl)Cl,O,-1.36
acetone,octane,CC(=O)C,CCCCCCCC,-2.46
toluene,aceticacid,CC1=CC=CC=C1,CC(O)=O,-4.53
p-dibromobenzene,octanol,C1=CC(=CC=C1Br)Br,CCCCCCCCO,-7.47
n-octane,ethoxybenzene,CCCCCCCC,CCOC1=CC=CC=C1,-4.75
thiophenol,chloroform,C1=CC=C(C=C1)S,C(Cl)(Cl)Cl,-7.61
aceticacid,cyclohexanone,CC(O)=O,C1CCC(=O)CC1,-6.43
dibutylether,dibutylether,CCCCOCCCC,CCCCOCCCC,-5.76
n-heptane,water,CCCCCCC,O,2.62
2-hexanone,benzene,CCCCC(=O)C,C1=CC=CC=C1,-5.76
methylhexanoate,trimethylbenzene,CCCCCC(=O)OC,CC1=C(C(=CC=C1)C)C,-6.16
methylbutanoate,hexadecane,CCCC(=O)OC,CCCCCCCCCCCCCCCC,-4.01
p-bromotoluene,water,CC1=CC=C(C=C1)Br,O,-1.39
ethanol,carbondisulfide,CCO,C(=S)=S,-2.72
acetone,ethylbenzene,CC(=O)C,CCC1=CC=CC=C1,-3.41
chloroform,pentane,C(Cl)(Cl)Cl,CCCCC,-3.26
2-methylpropene,water,CC(=C)C,O,1.16
ethanol,dimethylformamide,CCO,CN(C)C=O,-5.23
caffeine,octanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CCCCCCCCO,-12.54
phenol,dichloroethane,C1=CC=C(C=C1)O,CC(Cl)Cl,-7.48
iodobenzene,chloroform,C1=CC=C(C=C1)I,C(Cl)(Cl)Cl,-6.6
1-butyne,hexadecane,CCC#C,CCCCCCCCCCCCCCCC,-2.07
aniline,heptane,C1=CC=C(C=C1)N,CCCCCCC,-5.38
isopropanol,water,CC(C)O,O,-4.76
1-pentanol,cyclohexane,CCCCCO,C1CCCCC1,-3.61
1-heptanol,benzene,CCCCCCCO,C1=CC=CC=C1,-6.85
nitromethane,acetonitrile,C[N+](=O)[O-],CC#N,-5.62
n-octane,triethylamine,CCCCCCCC,CCN(CC)CC,-5.62
acetaldehyde,diethylether,CC=O,CCOCC,-2.85
diethylsulfide,water,CCSCC,O,-1.43
2-methyl-1-nitrobenzene,chloroform,CC1=CC=CC=C1[N+](=O)[O-],C(Cl)(Cl)Cl,-8.3
o-cresol,hexadecane,CC1=CC=CC=C1O,CCCCCCCCCCCCCCCC,-5.78
2-iodopropane,octanol,CC(C)I,CCCCCCCCO,-4.4
2-butanone,nitroethane,CCC(=O)C,CC[N+](=O)[O-],-4.73
ethylacetate,chlorobenzene,CCOC(=O)C,C1=CC=C(C=C1)Cl,-4.63
1-butanol,butanol,CCCCO,CCCCO,-6.03
dipropylsulfide,hexadecane,CCCSCCC,CCCCCCCCCCCCCCCC,-5.61
methylpropanoate,nonane,CCC(=O)OC,CCCCCCCCC,-3.5
propylacetate,xylene,CCCOC(C)=O,CC1=CC=CC=C1C,-4.87
methylhexanoate,heptane,CCCCCC(=O)OC,CCCCCCC,-5.63
2-butanone,methylformamide,CCC(=O)C,CNC=O,-4.34
bromotoluene,water,CC1=CC=CC=C1Br,O,-2.37
butanoicacid,secbutanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCC(C)O,-7.34
1-heptanol,ethylacetate,CCCCCCCO,CCOC(=O)C,-7.56
o-cresol,xylene,CC1=CC=CC=C1O,CC1=CC=CC=C1C,-7.25
methylpentanoate,cyclohexane,CCCCC(=O)OC,C1CCCCC1,-5.04
difluorodichloromethane,octanol,C(F)(F)(Cl)Cl,CCCCCCCCO,-1.25
ethylacetate,carbondisulfide,CCOC(=O)C,C(=S)=S,-4.08
1-octanol,diethylether,CCCCCCCCO,CCOCC,-7.25
hydrogenperoxide,butanol,OO,CCCCO,-7.94
n-octane,methoxyethanol,CCCCCCCC,COCCO,-3.71
benzene,decane,C1=CC=CC=C1,CCCCCCCCCC,-3.8
9-methyladenine,chloroform,CN1C=NC2=C(N=CN=C21)N,C(Cl)(Cl)Cl,-12.51
acetophenone,water,CC(=O)C1=CC=CC=C1,O,-4.58
butanoicacid,octanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CCCCCCCCO,-7.58
2-butanone,decane,CCC(=O)C,CCCCCCCCCC,-3.3
2-pentanone,hexadecane,CCCC(=O)C,CCCCCCCCCCCCCCCC,-3.76
trimethylphosphate,hexane,COP(=O)(OC)OC,CCCCCC,-5.82
diflunisal,water,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,O,-9.4
butylacetate,isopropylbenzene,CCCCOC(C)=O,CC(C)C1=CC=CC=C1,-5.36
diethylamine,dichloroethane,CCNCC,CC(Cl)Cl,-4.0
tolfenamicacid,water,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,O,-6.71
toluene,cyclohexane,CC1=CC=CC=C1,C1CCCCC1,-4.9
anisole,heptane,COC1=CC=CC=C1,CCCCCCC,-5.35
N-methylaniline,octanol,CNC1=CC=CC=C1,CCCCCCCCO,-6.94
ethyleneglycoldiacetate,water,CC(=O)OCCOC(=O)C,O,-6.34
iodomethane,octanol,CI,CCCCCCCCO,-3.07
n-octane,tetrahydrofuran,CCCCCCCC,C1CCOC1,-5.39
1-heptanol,ethylbenzene,CCCCCCCO,CCC1=CC=CC=C1,-6.7
1;4-dioxane,aniline,C1COCCO1,C1=CC=C(C=C1)N,-5.65
2-heptanone,water,CCCCCC(=O)C,O,-3.04
butenyne,water,C=CC#C,O,0.04
1-heptanol,chlorobenzene,CCCCCCCO,C1=CC=C(C=C1)Cl,-6.78
butylacetate,perfluorobenzene,CCCCOC(C)=O,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-5.52
3;3-dimethylbutanone,decane,CC(=O)C(C)(C)C,CCCCCCCCCC,-4.15
2-pentanone,toluene,CCCC(=O)C,CC1=CC=CC=C1,-5.02
propene,hexadecane,CC=C,CCCCCCCCCCCCCCCC,-1.29
1-propanethiol,hexadecane,CCCS,CCCCCCCCCCCCCCCC,-3.66
p-bromophenol,toluene,C1=CC(=CC=C1O)Br,CC1=CC=CC=C1,-8.7
3;3-dimethylbutanone,heptane,CC(=O)C(C)(C)C,CCCCCCC,-4.3
methylpropanoate,chlorohexane,CCC(=O)OC,CCCCCCCl,-4.2
2-hexanone,perfluorobenzene,CCCCC(=O)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-5.55
propylacetate,octane,CCCOC(C)=O,CCCCCCCC,-4.09
p-bromophenol,chloroform,C1=CC(=CC=C1O)Br,C(Cl)(Cl)Cl,-8.59
fenbufen,water,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,O,-12.75
toluene,cyclohexanone,CC1=CC=CC=C1,C1CCC(=O)CC1,-5.05
2-butanone,acetonitrile,CCC(=O)C,CC#N,-4.73
propanoicacid,octanol,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCCCCCO,-6.86
2-chloropropane,water,CC(C)Cl,O,-0.25
1-propanol,octane,CCCO,CCCCCCCC,-2.76
thiophenol,hexadecane,C1=CC=C(C=C1)S,CCCCCCCCCCCCCCCC,-5.61
n-nonane,nonane,CCCCCCCCC,CCCCCCCCC,-5.91
butylacetate,octane,CCCCOC(C)=O,CCCCCCCC,-4.8
4-nitroaniline,water,C1=CC(=CC=C1N)[N+](=O)[O-],O,-9.45
methylhexanoate,hexane,CCCCCC(=O)OC,CCCCCC,-5.64
ethanol,diisopropylether,CCO,CC(C)OC(C)C,-3.9
3;3-dimethylbutanone,octane,CC(=O)C(C)(C)C,CCCCCCCC,-4.21
diethylether,chloroform,CCOCC,C(Cl)(Cl)Cl,-4.32
butylacetate,decalin,CCCCOC(C)=O,C1CCC2CCCCC2C1,-4.71
aceticacid,octanol,CC(O)=O,CCCCCCCCO,-6.35
trimethylphosphate,dichloroethane,COP(=O)(OC)OC,CC(Cl)Cl,-8.55
pentylamine,hexadecane,CCCCCN,CCCCCCCCCCCCCCCC,-4.28
1-heptanol,dodecane,CCCCCCCO,CCCCCCCCCCCC,-5.41
aceticacid,chloroform,CC(O)=O,C(Cl)(Cl)Cl,-4.74
methylpropanoate,benzene,CCC(=O)OC,C1=CC=CC=C1,-4.58
2-heptanone,hexadecane,CCCCCC(=O)C,CCCCCCCCCCCCCCCC,-5.13
3;3-dimethylbutanone,toluene,CC(=O)C(C)(C)C,CC1=CC=CC=C1,-5.0
butylamine,pentanol,CCCCN,CCCCCO,-5.55
methylbenzoate,water,COC(=O)C1=CC=CC=C1,O,-3.91
3;3-dimethylbutanone,butylbenzene,CC(=O)C(C)(C)C,CCCCC1=CC=CC=C1,-4.77
butylacetate,hexane,CCCCOC(C)=O,CCCCCC,-4.86
isopropylether,hexadecane,CC(C)OC(C)C,CCCCCCCCCCCCCCCC,-4.02
1-bromopropane,octanol,CCCBr,CCCCCCCCO,-3.42
bromobenzene,decalin,C1=CC=C(C=C1)Br,C1CCC2CCCCC2C1,-5.25
morpholine,water,C1COCCN1,O,-7.17
2-heptanone,trimethylbenzene,CCCCCC(=O)C,CC1=C(C(=CC=C1)C)C,-6.01
methylpropanoate,water,CCC(=O)OC,O,-2.93
diethylamine,pentanol,CCNCC,CCCCCO,-5.3
m-xylene,octanol,CC1=CC(=CC=C1)C,CCCCCCCCO,-5.25
2-methyl-1-nitrobenzene,octanol,CC1=CC=CC=C1[N+](=O)[O-],CCCCCCCCO,-6.8
3;3-dimethylbutanone,chlorobenzene,CC(=O)C(C)(C)C,C1=CC=C(C=C1)Cl,-5.25
n-octane,diisopropylether,CCCCCCCC,CC(C)OC(C)C,-5.38
butylacetate,toluene,CCCCOC(C)=O,CC1=CC=CC=C1,-5.57
4-methylpyridine,hexadecane,CC1=CC=NC=C1,CCCCCCCCCCCCCCCC,-4.89
dimethylsulfide,hexadecane,CSC,CCCCCCCCCCCCCCCC,-3.05
chlorobenzene,chlorobenzene,C1=CC=C(C=C1)Cl,C1=CC=C(C=C1)Cl,-5.66
2-butanone,propanol,CCC(=O)C,CCCO,-4.15
ethanol,cyclohexane,CCO,C1CCCCC1,-2.42
fluorobenzene,decane,C1=CC=C(C=C1)F,CCCCCCCCCC,-3.48
p-bromophenol,bromobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)Br,-8.49
bis(2-chloroethyl)ether,water,C(CCl)OCCCl,O,-4.23
dibromomethane,hexadecane,C(Br)Br,CCCCCCCCCCCCCCCC,-3.94
2-butanone,acetophenone,CCC(=O)C,CC(=O)C1=CC=CC=C1,-4.39
methylbenzoate,benzene,COC(=O)C1=CC=CC=C1,C1=CC=CC=C1,-6.27
ethanol,dimethylsulfoxide,CCO,CS(=O)C,-5.25
ammonia,chloroform,N,C(Cl)(Cl)Cl,-2.41
butanonitrile,hexadecane,CCCC#N,CCCCCCCCCCCCCCCC,-3.48
p-dibromobenzene,heptane,C1=CC(=CC=C1Br)Br,CCCCCCC,-7.55
aceticacid,acetophenone,CC(O)=O,CC(=O)C1=CC=CC=C1,-6.2
m-cresol,cyclohexane,CC1=CC(=CC=C1)O,C1CCCCC1,-5.2
1;4-dioxane,dimethylformamide,C1COCCO1,CN(C)C=O,-5.03
butylacetate,ethylbenzene,CCCCOC(C)=O,CCC1=CC=CC=C1,-5.48
1;2-ethanediol,chloroform,C(CO)O,C(Cl)(Cl)Cl,-5.98
ethylamine,xylene,CCN,CC1=CC=CC=C1C,-3.01
aceticacid,bromoform,CC(O)=O,C(Br)(Br)Br,-4.54
fluorotrichloromethane,water,C(F)(Cl)(Cl)Cl,O,0.82
1;4-dioxane,xylene,C1COCCO1,CC1=CC=CC=C1C,-4.86
2-butanone,dibutylether,CCC(=O)C,CCCCOCCCC,-3.78
cyclohexane,chloroform,C1CCCCC1,C(Cl)(Cl)Cl,-4.45
butylacetate,tetrachloroethene,CCCCOC(C)=O,C(=C(Cl)Cl)(Cl)Cl,-5.35
methylhexanoate,butylbenzene,CCCCCC(=O)OC,CCCCC1=CC=CC=C1,-6.09
hexanoicacid,pentanol,C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl,CCCCCO,-8.99
diethylamine,toluene,CCNCC,CC1=CC=CC=C1,-3.75
phenol,decane,C1=CC=C(C=C1)O,CCCCCCCCCC,-5.5
ethanethiol,isooctane,CCS,CC(C)CC(C)(C)C,-3.13
2;4-dimethylpyridine,hexadecane,CC1=CC(=NC=C1)C,CCCCCCCCCCCCCCCC,-5.52
n-hexane,water,CCCCCC,O,2.49
5-trifluoromethyluracil,water,C1=C(C(=O)NC(=O)N1)C(F)(F)F,O,-15.46
1;4-dioxane,toluene,C1COCCO1,CC1=CC=CC=C1,-4.91
toluene,hexanol,CC1=CC=CC=C1,CCCCCCO,-4.27
