Solute,Solvent,SoluteSMILES,SolventSMILES,DeltaGsolv
n-octane,octane,CCCCCCCC,CCCCCCCC,-5.28
morpholine,octanol,C1COCCN1,CCCCCCCCO,-5.99
pentanoicacid,xylene,CCCCC(O)=O,CC1=CC=CC=C1C,-5.71
isopropanol,isopropanol,CC(C)O,CC(C)O,-4.82
acetylsalicylicacid,water,CC(=O)OC1=CC=CC=C1C(=O)O,O,-9.94
o-cresol,heptane,CC1=CC=CC=C1O,CCCCCCC,-6.01
toluene,decane,CC1=CC=CC=C1,CCCCCCCCCC,-4.65
n-octane,dimethylsulfoxide,CCCCCCCC,CS(=O)C,-2.84
acetone,water,CC(=O)C,O,-3.85
1-chloropropane,water,CCCCl,O,-0.27
n-octane,isooctane,CCCCCCCC,CC(C)CC(C)(C)C,-5.44
nitromethane,isopropanol,C[N+](=O)[O-],CC(C)O,-4.0
aceticacid,tributylphosphate,CC(O)=O,CCCCOP(=O)(OCCCC)OCCCC,-7.11
pyridine,heptane,C1=CC=NC=C1,CCCCCCC,-4.28
toluene,anisole,CC1=CC=CC=C1,COC1=CC=CC=C1,-4.95
aniline,diisopropylether,C1=CC=C(C=C1)N,CC(C)OC(C)C,-6.67
ethylacetate,isobutanol,CCOC(=O)C,CC(C)CO,-4.27
1-pentene,water,CCCC=C,O,1.66
2-butanone,isopropanol,CCC(=O)C,CC(C)O,-4.07
p-hydroxybenzaldehyde,cyclohexane,C1=CC(=CC=C1C=O)O,C1CCCCC1,-7.19
5-fluorouracil,diethylether,C1=C(C(=O)NC(=O)N1)F,CCOCC,-15.56
1-nitrobutane,hexane,CCCC[N+](=O)[O-],CCCCCC,-4.64
butanonitrile,water,CCCC#N,O,-3.64
2-octanone,water,CCCCCCC(=O)C,O,-2.88
1-nitropropane,water,CCC[N+](=O)[O-],O,-3.34
ethylamine,chloroform,CCN,C(Cl)(Cl)Cl,-4.02
p-bromophenol,ethylbenzene,C1=CC(=CC=C1O)Br,CCC1=CC=CC=C1,-8.54
nitromethane,methoxyethanol,C[N+](=O)[O-],COCCO,-5.06
bromotrifluoromethane,water,C(F)(F)(F)Br,O,1.79
p-xylene,hexane,CC1=CC=C(C=C1)C,CCCCCC,-5.01
trimethylphosphate,water,COP(=O)(OC)OC,O,-8.7
1;4-dioxane,decane,C1COCCO1,CCCCCCCCCC,-3.97
propylamine,hexanol,CCCN,CCCCCCO,-4.83
pyridine,diisopropylether,C1=CC=NC=C1,CC(C)OC(C)C,-4.88
2-chloropentane,water,CCCC(C)Cl,O,0.07
pentylacetate,heptane,CCCCCOC(C)=O,CCCCCCC,-5.42
toluene,bromobenzene,CC1=CC=CC=C1,C1=CC=C(C=C1)Br,-5.13
1-nitrobutane,water,CCCC[N+](=O)[O-],O,-3.08
triethylphosphate,water,CCOP(=O)(OCC)OCC,O,-7.8
1;4-dioxane,hexane,C1COCCO1,CCCCCC,-4.08
toluene,ethylacetate,CC1=CC=CC=C1,CCOC(=O)C,-5.05
methylpentanoate,tetrachloroethene,CCCCC(=O)OC,C(=C(Cl)Cl)(Cl)Cl,-5.41
methylamine,chlorobenzene,CN,C1=CC=C(C=C1)Cl,-2.16
trichloroethene,hexadecane,C(=C(Cl)Cl)Cl,CCCCCCCCCCCCCCCC,-4.08
1-pentanol,nonane,CCCCCO,CCCCCCCCC,-3.92
3;3-dimethylbutanone,pentane,CC(=O)C(C)(C)C,CCCCC,-4.43
1-pentanol,toluene,CCCCCO,CC1=CC=CC=C1,-5.17
n-heptane,octanol,CCCCCCC,CCCCCCCCO,-3.74
m-xylene,heptane,CC1=CC(=CC=C1)C,CCCCCCC,-5.67
2-hexanone,trimethylbenzene,CCCCC(=O)C,CC1=C(C(=CC=C1)C)C,-5.39
methanol,octanol,CO,CCCCCCCCO,-3.87
1;4-dioxane,chloroform,C1COCCO1,C(Cl)(Cl)Cl,-6.21
p-cresol,heptanol,CC1=CC=C(C=C1)O,CCCCCCCO,-9.16
triethylphosphate,chloroform,CCOP(=O)(OCC)OCC,C(Cl)(Cl)Cl,-10.9
acetone,decane,CC(=O)C,CCCCCCCCCC,-2.47
1;4-dioxane,diethylether,C1COCCO1,CCOCC,-4.67
water,toluene,O,CC1=CC=CC=C1,-1.69
tetrahydropyran,water,C1CCOCC1,O,-3.12
o-cresol,chlorobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)Cl,-7.33
hydrogenperoxide,pentanol,OO,CCCCCO,-7.46
p-bromophenol,nitrobenzene,C1=CC(=CC=C1O)Br,C1=CC=C(C=C1)[N+](=O)[O-],-9.76
3;5-dimethylpyridine,water,CC1=CC(=CN=C1)C,O,-4.84
pentanal,isooctane,CCCCC=O,CC(C)CC(C)(C)C,-4.24
n-octane,benzylalcohol,CCCCCCCC,C1=CC=C(C=C1)CO,-3.77
N;N'-dimethylpiperazine,water,CN1CCN(CC1)C,O,-7.58
ethanol,2methylpyridine,CCO,Cc1ccccn1,-5.01
bromoform,water,C(Br)(Br)Br,O,-1.98
1-propanol,decane,CCCO,CCCCCCCCCC,-2.76
methylpropylether,octanol,CCCOC,CCCCCCCCO,-3.63
o-cresol,chloroform,CC1=CC=CC=C1O,C(Cl)(Cl)Cl,-7.55
methylpropanoate,chloroform,CCC(=O)OC,C(Cl)(Cl)Cl,-5.48
butylacetate,butylbenzene,CCCCOC(C)=O,CCCCC1=CC=CC=C1,-5.28
2;6-dimethylpyridine,chloroform,CC1=NC(=CC=C1)C,C(Cl)(Cl)Cl,-7.74
p-bromophenol,nonanol,C1=CC(=CC=C1O)Br,CCCCCCCCCO,-10.36
1-butanol,ethylbenzene,CCCCO,CCC1=CC=CC=C1,-3.77
methylpentanoate,chlorohexane,CCCCC(=O)OC,CCCCCCCl,-5.41
phenol,carbondisulfide,C1=CC=C(C=C1)O,C(=S)=S,-6.27
propanoicacid,tributylphosphate,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCCCOP(=O)(OCCCC)OCCCC,-7.73
phenol,nitrobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)[N+](=O)[O-],-7.86
1-hexanol,butylacetate,CCCCCCO,CCCCOC(C)=O,-6.62
2-hexanone,pentane,CCCCC(=O)C,CCCCC,-4.79
dichloromethane,hexadecane,C(Cl)Cl,CCCCCCCCCCCCCCCC,-2.76
1-butanol,nonane,CCCCO,CCCCCCCCC,-3.77
2-chloropropane,hexadecane,CC(C)Cl,CCCCCCCCCCCCCCCC,-2.69
n-heptane,heptane,CCCCCCC,CCCCCCC,-4.65
pentylacetate,ethylbenzene,CCCCCOC(C)=O,CCC1=CC=CC=C1,-6.2
n-decane,decane,CCCCCCCCCC,CCCCCCCCCC,-6.53
dimethyl4-nitrophenylthiophosphate,chloroform,C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-],C(Cl)(Cl)Cl,-9.51
acetone,carbondisulfide,CC(=O)C,C(=S)=S,-3.14
ethanol,nitromethane,CCO,C[N+](=O)[O-],-4.16
ethanol,dimethylacetamide,CCO,CC(=O)N(C)C,-5.4
bromoethane,hexadecane,CCBr,CCCCCCCCCCCCCCCC,-2.89
butylacetate,butylacetate,CCCCOC(C)=O,CCCCOC(C)=O,-5.52
difluorodichloromethane,chloroform,C(F)(F)(Cl)Cl,C(Cl)(Cl)Cl,-1.55
methanol,toluene,CO,CC1=CC=CC=C1,-2.18
methanol,pentane,CO,CCCCC,-1.29
m-xylene,hexadecane,CC1=CC(=CC=C1)C,CCCCCCCCCCCCCCCC,-5.24
ethylamine,chlorobenzene,CCN,C1=CC=C(C=C1)Cl,-2.73
1-butene,water,CCC=C,O,1.38
n-pentane,hexadecane,CCCCC,CCCCCCCCCCCCCCCC,-2.95
N-methyl-2-pyrrolidinone,chloroform,CN1CCCC1=O,C(Cl)(Cl)Cl,-9.82
pentachloronitrobenzene,water,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],O,-5.22
1;4-dichlorobenzene,octanol,C1=CC(=CC=C1Cl)Cl,CCCCCCCCO,-5.67
fluorobenzene,water,C1=CC=C(C=C1)F,O,-0.78
butylamine,diethylether,CCCCN,CCOCC,-4.24
perfluorobenzene,perfluorobenzene,C1(=C(C(=C(C(=C1F)F)F)F)F)F,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-4.42
benzaldehyde,chloroform,C1=CC=C(C=C1)C=O,C(Cl)(Cl)Cl,-7.09
methylparaben,water,COC(=O)C1=CC=C(C=C1)O,O,-9.51
o-cresol,heptanol,CC1=CC=CC=C1O,CCCCCCCO,-8.78
pyrrole,cyclohexane,C1=CNC=C1,C1CCCCC1,-3.77
2-methylpropane,hexadecane,CC(C)C,CCCCCCCCCCCCCCCC,-1.92
methylhexanoate,chloroform,CCCCCC(=O)OC,C(Cl)(Cl)Cl,-7.24
propanoicacid,bromoethane,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CCBr,-5.52
ethylamine,bromobenzene,CCN,C1=CC=C(C=C1)Br,-2.73
propylacetate,hexadecane,CCCOC(C)=O,CCCCCCCCCCCCCCCC,-3.93
n-octane,hexadecane,CCCCCCCC,CCCCCCCCCCCCCCCC,-5.02
diethylsulfide,octanol,CCSCC,CCCCCCCCO,-4.09
n-dodecane,dodecane,CCCCCCCCCCCC,CCCCCCCCCCCC,-7.83
1-propanol,bromoform,CCCO,C(Br)(Br)Br,-4.03
p-bromophenol,decanol,C1=CC(=CC=C1O)Br,CCCCCCCCCCO,-10.32
n-octane,bromobenzene,CCCCCCCC,C1=CC=C(C=C1)Br,-5.02
phenol,bromobenzene,C1=CC=C(C=C1)O,C1=CC=C(C=C1)Br,-6.87
2-hexanone,tetralin,CCCCC(=O)C,C1CCC2=CC=CC=C2C1,-4.64
1;4-dioxane,carbondisulfide,C1COCCO1,C(=S)=S,-4.67
ethylamine,decanol,CCN,CCCCCCCCCCO,-3.91
diethylamine,cyclohexane,CCNCC,C1CCCCC1,-3.61
methylpropylether,water,CCCOC,O,-1.66
n-pentane,isooctane,CCCCC,CC(C)CC(C)(C)C,-3.21
2-methylpyrazine,chloroform,CC1=NC=CN=C1,C(Cl)(Cl)Cl,-6.99
uracil,butanol,C1=CNC(=O)NC1=O,CCCCO,-16.05
propylacetate,decane,CCCOC(C)=O,CCCCCCCCCC,-4.02
acetophenone,cyclohexane,CC(=O)C1=CC=CC=C1,C1CCCCC1,-6.29
ammonia,hexadecane,N,CCCCCCCCCCCCCCCC,-0.93
N-methylformamide,octanol,CNC=O,CCCCCCCCO,-6.97
butanoicacid,xylene,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC1=CC=CC=C1C,-5.3
1;4-dioxane,ethylacetate,C1COCCO1,CCOC(=O)C,-5.03
ethylbenzene,diethylether,CCC1=CC=CC=C1,CCOCC,-5.45
phenol,nonane,C1=CC=C(C=C1)O,CCCCCCCCC,-5.6
ethanol,benzonitrile,CCO,C1=CC=C(C=C1)C#N,-4.05
methylbenzoate,cyclohexane,COC(=O)C1=CC=CC=C1,C1CCCCC1,-7.01
1-heptanol,dibromoethane,CCCCCCCO,CC(Br)Br,-6.64
1-butanol,chloroform,CCCCO,C(Cl)(Cl)Cl,-5.28
1;4-dioxane,dimethylacetamide,C1COCCO1,CC(=O)N(C)C,-5.01
propylparaben,water,CCCOC(=O)C1=CC=C(C=C1)O,O,-9.37
acetone,octanol,CC(=O)C,CCCCCCCCO,-3.15
tetrahydropyran,octanol,C1CCOCC1,CCCCCCCCO,-4.21
anisole,hexadecane,COC1=CC=CC=C1,CCCCCCCCCCCCCCCC,-5.35
1-propanol,nonane,CCCO,CCCCCCCCC,-2.76
trimethylbenzene,trimethylbenzene,CC1=C(C(=CC=C1)C)C,CC1=C(C(=CC=C1)C)C,-6.47
2-butanone,diethylether,CCC(=O)C,CCOCC,-4.09
aniline,4methyl2pentanone,C1=CC=C(C=C1)N,CC(C)CC(C)=O,-7.54
aceticacid,water,CC(O)=O,O,-6.7
1-propanol,chlorobenzene,CCCO,C1=CC=C(C=C1)Cl,-3.82
diethyl2;4-dichlorophenylthiophosphate,octanol,CC[S](CC)(c1ccc(Cl)cc1Cl)=[P]([O-])([O-])[O-],CCCCCCCCO,-10.87
propanoicacid,water,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,O,-6.47
n-octane,methylformamide,CCCCCCCC,CNC=O,-3.34
1;1;1-trifluoropropan-2-ol,water,CC(C(F)(F)F)O,O,-4.16
methylamine,octanol,CN,CCCCCCCCO,-3.78
n-octane,decane,CCCCCCCC,CCCCCCCCCC,-5.18
p-cresol,dichloroethane,CC1=CC=C(C=C1)O,CC(Cl)Cl,-7.75
aceticacid,toluene,CC(O)=O,CC1=CC=CC=C1,-4.0
n-hexane,isooctane,CCCCCC,CC(C)CC(C)(C)C,-3.08
1;4-dioxane,cyclohexane,C1COCCO1,C1CCCCC1,-4.17
o-xylene,hexane,CC1=CC=CC=C1C,CCCCCC,-5.22
propylacetate,bromooctane,CCCOC(C)=O,CCCCCCCCBr,-4.48
trichloroethene,water,C(=C(Cl)Cl)Cl,O,-0.39
methylbenzoate,octanol,COC(=O)C1=CC=CC=C1,CCCCCCCCO,-7.26
toluene,nitromethane,CC1=CC=CC=C1,C[N+](=O)[O-],-4.52
cyclopentane,water,C1CCCC1,O,1.2
hydrogensulfide,water,S,O,-0.7
ethanol,isooctane,CCO,CC(C)CC(C)(C)C,-2.44
1;4-dioxane,tetrahydrofuran,C1COCCO1,C1CCOC1,-5.17
methylacetate,pentadecane,COC(C)=O,CCCCCCCCCCCCCCC,-2.82
formaldehyde,hexanol,C=O,CCCCCCO,-3.42
methylpropanoate,decane,CCC(=O)OC,CCCCCCCCCC,-3.49
dimethyl4-nitrophenylthiophosphate,water,C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-],O,-7.62
ethanol,tetralin,CCO,C1CCC2=CC=CC=C2C1,-1.54
2-methyl-1-nitrobenzene,hexadecane,CC1=CC=CC=C1[N+](=O)[O-],CCCCCCCCCCCCCCCC,-6.52
2-butanone,toluene,CCC(=O)C,CC1=CC=CC=C1,-4.27
acetone,tetrachloroethene,CC(=O)C,C(=C(Cl)Cl)(Cl)Cl,-3.09
nitromethane,propanol,C[N+](=O)[O-],CCCO,-4.04
cyclopentanone,octanol,C1CCC(=O)C1,CCCCCCCCO,-5.01
methylcyclohexane,hexadecane,CC1CCCCC1,CCCCCCCCCCCCCCCC,-4.43
isobutylnitrate,water,CC(C)CO[N+](=O)[O-],O,-1.9
1;4-dioxane,ethanol,C1COCCO1,CCO,-4.68
toluene,hexadecyliodide,CC1=CC=CC=C1,CCCCCCCCCCCCCCCCI,-4.41
toluene,aniline,CC1=CC=CC=C1,C1=CC=C(C=C1)N,-4.57
diethylether,water,CCOCC,O,-1.76
2-butanone,carbondisulfide,CCC(=O)C,C(=S)=S,-3.85
o-cresol,octane,CC1=CC=CC=C1O,CCCCCCCC,-6.16
2-hexanone,ethylbenzene,CCCCC(=O)C,CCC1=CC=CC=C1,-5.49
trimethylamine,benzene,CN(C)C,C1=CC=CC=C1,-2.8
2-butanone,iodobenzene,CCC(=O)C,C1=CC=C(C=C1)I,-4.22
1;1;2-trichloro-1;2;2-trifluoroethane,octanol,C(C(F)(Cl)Cl)(F)(F)Cl,CCCCCCCCO,-2.54
n-octane,isopropanol,CCCCCCCC,CC(C)O,-4.5
4-methylpyridine,benzene,CC1=CC=NC=C1,C1=CC=CC=C1,-6.17
ethanol,methoxyethanol,CCO,COCCO,-4.71
acetonitrile,cyclohexane,CC#N,C1CCCCC1,-1.87
trimethylamine,xylene,CN(C)C,CC1=CC=CC=C1C,-2.63
2-butanone,dimethylsulfoxide,CCC(=O)C,CS(=O)C,-4.23
phenol,toluene,C1=CC=C(C=C1)O,CC1=CC=CC=C1,-6.93
o-cresol,pentanol,CC1=CC=CC=C1O,CCCCCO,-8.57
2-heptanone,hexane,CCCCCC(=O)C,CCCCCC,-5.36
propyne,water,CC#C,O,-0.31
1-pentanol,xylene,CCCCCO,CC1=CC=CC=C1C,-4.72
ethylacetate,octane,CCOC(=O)C,CCCCCCCC,-3.48
4-methoxybenzoicacid,octanol,COc1ccc(cc1)C(O)=O,CCCCCCCCO,-11.82
1-chloro-2;2;2-trifluoroethane,water,C(C(F)(F)F)Cl,O,0.06
2;5-dimethylpyridine,water,CC1=CN=C(C=C1)C,O,-4.72
hydrogenperoxide,isobutanol,OO,CC(C)CO,-7.93
aceticacid,diethylether,CC(O)=O,CCOCC,-6.26
1-pentanol,benzene,CCCCCO,C1=CC=CC=C1,-5.1
nitrobenzene,cyclohexane,C1=CC=C(C=C1)[N+](=O)[O-],C1CCCCC1,-6.62
fluorobenzene,octanol,C1=CC=C(C=C1)F,CCCCCCCCO,-3.87
bis(2-chloroethyl)sulfide,water,C(CCl)SCCCl,O,-3.92
nitroxyacetone,water,CC(=O)CO[N+](=O)[O-],O,-6.0
ethylacetate,cyclohexane,CCOC(=O)C,C1CCCCC1,-3.56
2-pentanone,nonane,CCCC(=O)C,CCCCCCCCC,-3.97
fluorobenzene,cyclohexane,C1=CC=C(C=C1)F,C1CCCCC1,-3.59
1;2-ethanediamine,water,C(CN)N,O,-9.72
1-propanol,xylene,CCCO,CC1=CC=CC=C1C,-3.57
1-chloropropane,hexadecane,CCCCl,CCCCCCCCCCCCCCCC,-2.86
1-hexanol,hexanol,CCCCCCO,CCCCCCO,-7.05
2-butanone,nitromethane,CCC(=O)C,C[N+](=O)[O-],-4.72
aniline,xylene,C1=CC=C(C=C1)N,CC1=CC=CC=C1C,-6.1
ethylphenylether,water,CCOc1ccccc1,O,-2.22
methylpropanoate,pentane,CCC(=O)OC,CCCCC,-3.69
toluene,methoxyethanol,CC1=CC=CC=C1,COCCO,-4.49
propylacetate,toluene,CCCOC(C)=O,CC1=CC=CC=C1,-5.0
1-propanol,iodobenzene,CCCO,C1=CC=C(C=C1)I,-3.52
dimethylamine,chlorobenzene,CNC,C1=CC=C(C=C1)Cl,-2.75
tripropylphosphate,hexane,CCCO[P](=O)(OCCC)OCCC,CCCCCC,-7.24
methylbenzoate,chloroform,COC(=O)C1=CC=CC=C1,C(Cl)(Cl)Cl,-7.81
toluene,diisopropylether,CC1=CC=CC=C1,CC(C)OC(C)C,-4.91
ethylacetate,octanol,CCOC(=O)C,CCCCCCCCO,-4.06
o-cresol,nitrobenzene,CC1=CC=CC=C1O,C1=CC=C(C=C1)[N+](=O)[O-],-8.16
1-hexanol,iodobenzene,CCCCCCO,C1=CC=C(C=C1)I,-5.71
anthracene,octanol,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CCCCCCCCO,-10.47
pentylacetate,chlorobenzene,CCCCCOC(C)=O,C1=CC=C(C=C1)Cl,-6.49
1;4-dioxane,butanone,C1COCCO1,CCC(=O)C,-5.02
acetamide,diethylether,CC(=O)N,CCOCC,-6.16
1-propanol,dodecane,CCCO,CCCCCCCCCCCC,-2.74
tripropylphosphate,water,CCCO[P](=O)(OCCC)OCCC,O,-6.1
propanoicacid,isopropylbenzene,CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl,CC(C)C1=CC=CC=C1,-4.23
1-bromo-1-chloro-2;2;2-trifluoroethane,octanol,C(C(F)(F)F)(Cl)Br,CCCCCCCCO,-3.27
butanal,water,CCCC=O,O,-3.18
g-butyrolactone,toluene,C1CC(=O)OC1,CC1=CC=CC=C1,-4.7
butylamine,benzylalcohol,CCCCN,C1=CC=C(C=C1)CO,-5.15
butylacetate,hexadecane,CCCCOC(C)=O,CCCCCCCCCCCCCCCC,-4.61
3;5-dibromo-4-hydroxybenzonitrile,hexane,C1=C(C=C(C(=C1Br)O)Br)C#N,CCCCCC,-9.67
ethanol,diethylether,CCO,CCOCC,-4.41
chlorobenzene,ethanol,C1=CC=C(C=C1)Cl,CCO,-3.3
ethyne,octanol,C#C,CCCCCCCCO,-0.51
benzene,hexanol,C1=CC=CC=C1,CCCCCCO,-3.68
3-bromopropene,octanol,C=CCBr,CCCCCCCCO,-3.3
1-hexanol,diethylether,CCCCCCO,CCOCC,-6.82
m-cresol,xylene,CC1=CC(=CC=C1)O,CC1=CC=CC=C1C,-6.32
methylpropanoate,heptane,CCC(=O)OC,CCCCCCC,-3.63
p-cresol,heptane,CC1=CC=C(C=C1)O,CCCCCCC,-5.77
3;3-dimethylbutanone,perfluorobenzene,CC(=O)C(C)(C)C,C1(=C(C(=C(C(=C1F)F)F)F)F)F,-5.26
butanoicacid,isobutanol,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC(C)CO,-7.62
t-butylmethylether,octanol,CC(C)(C)OC,CCCCCCCCO,-3.49
methylpentanoate,hexadecane,CCCCC(=O)OC,CCCCCCCCCCCCCCCC,-4.69
propylacetate,bromobenzene,CCCOC(C)=O,C1=CC=C(C=C1)Br,-4.93
allylalcohol,diethylether,OCC=C,CCOCC,-4.87
butanoicacid,toluene,C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO,CC1=CC=CC=C1,-5.24
n-octane,acetonitrile,CCCCCCCC,CC#N,-3.57
toluene,xylene,CC1=CC=CC=C1,CC1=CC=CC=C1C,-5.06
1;4-dioxane,isooctane,C1COCCO1,CC(C)CC(C)(C)C,-4.02
benzene,hexadecane,C1=CC=CC=C1,CCCCCCCCCCCCCCCC,-3.8
3;3-dimethylbutanone,hexadecane,CC(=O)C(C)(C)C,CCCCCCCCCCCCCCCC,-3.94
m-cresol,nitrobenzene,CC1=CC(=CC=C1)O,C1=CC=C(C=C1)[N+](=O)[O-],-7.29
acetonitrile,hexadecane,CC#N,CCCCCCCCCCCCCCCC,-2.37
2-bromopropane,octanol,CC(C)Br,CCCCCCCCO,-3.4
hydrogenperoxide,acetophenone,OO,CC(=O)C1=CC=CC=C1,-7.3
phenol,octane,C1=CC=C(C=C1)O,CCCCCCCC,-5.47
1-heptanol,octane,CCCCCCCO,CCCCCCCC,-5.56
ethylbenzene,hexane,CCC1=CC=CC=C1,CCCCCC,-4.99
2-methoxyethanol,nonanol,COCCO,CCCCCCCCCO,-5.61
phenol,decanol,C1=CC=C(C=C1)O,CCCCCCCCCCO,-8.58
propylacetate,pentadecane,CCCOC(C)=O,CCCCCCCCCCCCCCC,-3.91
1;1;2-trichloroethane,water,C(C(Cl)Cl)Cl,O,-1.95
methylhexanoate,pentane,CCCCCC(=O)OC,CCCCC,-5.67
2-butanone,mesitylene,CCC(=O)C,CC1=CC(=CC(=C1)C)C,-3.95
3-methylpyridine,cyclohexane,CC1=CN=CC=C1,C1CCCCC1,-5.14
naphthalene,butylacetate,C1=CC=C2C=CC=CC2=C1,CCCCOC(C)=O,-7.59
methylacetate,decalin,COC(C)=O,C1CCC2CCCCC2C1,-2.9
ethylphenylether,cyclohexane,CCOc1ccccc1,C1CCCCC1,-6.0
n-pentane,pentane,CCCCC,CCCCC,-3.35
trimethylamine,diethylether,CN(C)C,CCOCC,-2.78
tripropylphosphate,octanol,CCCO[P](=O)(OCCC)OCCC,CCCCCCCCO,-8.65
piperazine,water,C1CNCCN1,O,-7.4
butylamine,anisole,CCCCN,COC1=CC=CC=C1,-4.44
toluene,dibutylether,CC1=CC=CC=C1,CCCCOCCCC,-4.87
dimethyl2;4;5-trichlorophenylthiophosphate,water,C[S](C)(c1cc(Cl)c(Cl)cc1Cl)=[P]([O-])([O-])[O-],O,-5.06
ethylacetate,decane,CCOC(=O)C,CCCCCCCCCC,-3.43
p-cresol,water,CC1=CC=C(C=C1)O,O,-6.14
1;4-dichlorobenzene,heptane,C1=CC(=CC=C1Cl)Cl,CCCCCCC,-5.81
1-hexyne,water,CCCCC#C,O,0.29
m-cresol,heptane,CC1=CC(=CC=C1)O,CCCCCCC,-5.01
quinoline,octanol,C1=CC=C2C(=C1)C=CC=N2,CCCCCCCCO,-8.43
nitroglycol,water,C(CO[N+](=O)[O-])O[N+](=O)[O-],O,-5.7
toluene,isopropanol,CC1=CC=CC=C1,CC(C)O,-4.38
butylacetate,pentadecane,CCCCOC(C)=O,CCCCCCCCCCCCCCC,-4.49
2-ethylpyrazine,octanol,CCC1=NC=CN=C1,CCCCCCCCO,-6.4
anisole,diethylether,COC1=CC=CC=C1,CCOCC,-5.71
dimethylether,hexadecane,COC,CCCCCCCCCCCCCCCC,-1.49
nitromethane,diethylether,C[N+](=O)[O-],CCOCC,-4.19
butylamine,octanol,CCCCN,CCCCCCCCO,-5.33
chlorobenzene,hexane,C1=CC=C(C=C1)Cl,CCCCCC,-5.14
p-bromophenol,cyclohexane,C1=CC(=CC=C1O)Br,C1CCCCC1,-7.14
2-butanone,benzene,CCC(=O)C,C1=CC=CC=C1,-4.46
